name,stock,price,description,pet_type,photo_url,user_id
The Indestructible Petsy KONG,14,2000,Our most popular toy for dogs of all sizes.,dog,KONG.jpg,1
The Chewsen One,12,300,The most powerful chew toy ever.,dog,Chewsen.jpg,1
Plush Vader,2,500,The cuteness of this toy will really choke you up.,dog,Plush-Vader.jpg,4
Tug Rope,10,1000,Get some arm muscles while playing tug of war with your BFF.,dog,Tug-Rope.jpg,5
Pickles In A Jar,6,1400,Set of 4 funny pickle plush toys.,dog,Pickles.jpg,2
C-3PO & R2-D2 Mice,9,300,Pack of 2 full of surprises your cat will love.,cat,Mices.jpg
Petsy Cat Teaser,15,300,This toy is the cat's meow.,cat,Teaser.jpg,3
Crinkly Cat Tunnel,4,1500,Your pet will play with this like it is an endless tunnel.,cat,Tunnel.jpg,5
Laser Toy,11,250,This toy is on point.,cat,Laser.jpg,6
The Mega Terrarium,3,50000,High glass terrarium with lots of room for your reptile friend.,reptile,Terrarium.jpg,5
Petsy Halogen Reptile Dome Heat Lamp,7,1500,Bulb not included a radiant heat source for your pet reptile.,reptile,Heat-Lamp.jpg,3
Coconut Husk Brick Reptile Bedding,12,500,It does not smell like coconut but good for the environment.,reptile,Rep-Bedding.jpg,2
Reptile Hideaway,3,700,Spacious log made out of full cork for your reptile friend to hide in.,reptile,Hideaway.jpg,1
Jungle Plant,5,300,We recommend getting 2 to create the full jungle feel.,reptile,Jungle-Plant.jpg,4
Skull Hideaway,2,1300,Our most popular hideaway for reptiles.,reptile,Skull-Hideaway.jpg,3
Petsy Clips for Reptiles,5,500,Reptiles have nails too that need to be regularly trimmed.,reptile,Rep-Clip.jpg,1
Reptile Leash,4,800,Take your pet reptile out for a walk when the weather is nice outside.,reptile,Rep-Leash.jpg,5
Petsy Clips for Pets,10,1000,Soft grip to help cut nails easily.,cat,Nail-Clipper.jpg,2
Petsy Scented Litter,4,900,35lbs litter you won't even notice the litter box.,cat,Cat-Litter.jpg,2
Cat Leash,3,1300,We are not kitten you right meow,cat,Cat-Harness.jpg,3
Cat Bow Tie,11,1100,For the hipster cat.,cat,Cat-Bow-Tie.jpg,4
Fishbone Bow Tie,2,200,So good looking your cat might eat it.,cat,Fishbone-Bow-Tie.jpg,4
Dog Leash,5,3500,Easy to use on puppies and dogs of all sizes.,dog,Dog-Leash.jpg,5
Petsy Harness for dogs,10,2000,Gentle and easy to use on dogs of all sizes.,dog,Dog-Harness.jpg,6
Camo Skull Bandana Dog Collar,1,1000,Dog not included.,dog,Bandana.jpg,4
Cat Brush,7,2500,Eliminates cat fur.,cat,Cat-Brush.jpg,2
Cat Shampoo,9,1200,Fragrance Free Oatmeal & Aloe Totally Natural Pet Shampoo.,cat,Cat-Shampoo.jpg,1
Cat Dry Shampoo,3,700,Dander Reducing Waterless Shampoo for Cats.,cat,Cat-Dry-Shampoo.jpg,5
Dog Brush,9,3000,Eliminates dog hair.,dog,Dog-Brush.jpg,1
Dog Shampoo,20,550,Nourishing Avocado & Olive Oil Dog Shampoo.,dog,Dog-Shampoo.jpg,3
Petsy Pads,30,1500,Gigantic Puppy Housebreaking Pads.,dog,Pads.jpg,5
Doggie Bag Dispenser,14,600,Refillable Bag Dispenser.,dog,Bag-Dispenser.jpg,6
Doggie Bags,10,599,100% Compostable Dog Waste Bags.,dog,Dog-Waste-Bags.jpg,6
Petsy Luxurious Dog Bed,1,20000,Only the best for your BFF sharing is of optional.,dog,Dog-Bed.jpg,1
Petsy Teepee,1,8000,Perfect for the pet
 who loves to stargaze.,dog,Teepee.jpg,1
Petsy Luxurious Cat Purch,1,10000,Only the best for your BFF.,cat,Cat-Bed.jpg,4
Petsy Cat Tree Playground,1,15000,Can fit up to 6 cats.,cat,Cattree.jpg,4
Reptile Food,15,320,Gourmet Style Mealworms Reptile Food.,reptile,Rep-Food.jpg,4
Vegetable Reptile Munchies,8,850,For a healthy pet reptile.,reptile,Rep-Veg-Food.jpg,5
Cat Wet Food Pouch,9,1130,Case of 12 Tuna Ocean Whitefish & Pumpkin Wet Cat Food Pouch.,cat,Cat-Wet-Food.jpg,4
Cat Wet Food Can,8,1200,Case of 8 Grill Mackerel Sardine Calamari Wet Cat Food.,cat,Cat-Can-Food.jpg,1
Cat Dry Food,12,3000,Dry Cat Food.,cat,Cat-Dry-Food.jpg,1
Dog Wet Food Can,13,3500,Case of 12 Chicken & Mackerel Poke.,dog,Dog-Dry-Food.jpg,4
Dog Dry Food,5,3000,Dry Dog Food.,dog,Dog-Wet-Food.jpg,2
